content,score
Sangat bagus,5
Bagus karena ada fitur baru,5
👌,5
Terima kasih whatsapp,5
"Suara suka terputus putus,",2
Update trs,5
Ngirim dokumen knp jadi hrus 1-1?!!!! Males banget,1
Yoww,5
T1dak bisa buka wa,5
semoga tidak eror,4
okeh,5
Mantap,5
Saya kasih bintang lima karena apk nya bagus,5
Mantap,5
Sangat bagus,5
"Aplikasinya bagus dan cocok untuk komunikasi jarak jauh, cuma terkadang putus putus mohon di perkuat jaringan nya terkadang ilang",5
Ok,5
Lbih ribet,1
Pokokx dengan aplikasi ini semua silaturahmi jdi mudah,4
Aplikasi ini sangat membantu saya,5
Kerja bagus,1
Kenapa WhatsApp ku sudah di daftar kok di suruh ganti nomor baru,5
Kenapa gak bisa di instal ya,5
Sangat puas,5
3 dulu kalau bagus baru aku tambahin,3
👍,5
L 5gaz,2
Nyobak dulu,1
Seruuuuu,5
Susah,4
Sangat membantu,5
Kenapa whatsapp koq sering kadaluwarsa,1
Manut wae,5
Sangat mudah untuk berkomunikasi,5
Bagus,5
Mantap,3
WhatApp ini sangat seru dan menarik untuk menelfon teman ki,5
Luar biasa,4
Biasa saja,4
"Bagus,mantap",5
joging,5
Ntah knpa akunku keblokir permanen,5
Ok,5
Hhhhhhhhhuu,5
baik,4
Bgus ..bget..tpi Syang.klau buat vcann..gk bsa vdiony gk bgus ..buram..pdhl hp bgus..Oppo a15s.. sdangkan ak..prnh pke hp teman yg hpny biasa..buat vcnn..vdiony bgus gambarny...ksih bintang 3 aj .kurg luas,3
Whatsapp kenapa gtidak aktif,5
"Tambah jelek pak,bagusan yang dulu, menambahkan fitur tapi juga menghilangkan fitur yang dulu aaaaa eeek",3
Bagus banget,5
saya senang,2
Peggunaan whatsapp Masih Ada kendala.,5
Oprasi al,5
Sangat membantu,5
Sangat bagus,5
Terlalu sering update,5
Usefull,5
Memuaskan,4
WhatsAp sangat bagus dan sangat membantu,5
Sangat membantu kami dlm hal informasi,5
"Wa sering keblokir otomatis heran jadinya, alasan spam padahal ngobrol biasa tidak ada yang melanggar, kalau sistem tidak bisa membaca bahasa daerah di tingkatkan dong sistemnya bukan akunnya yg di blokir",2
Sekarang wa nggak ada privasinya lebih dijaga dong harusnya,1
cara memperbarui whatsapp,1
Bermanfaat,5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
Ok,3
Bagus,3
bagus,5
Sewenang wenang,1
Achmad suyarno,5
sangat nyaman,5
"ga suka anis di update, lebih suka yg dulu",1
"kenapa makin di update makin bnyak pemakaian ruang sih,ini parah banget sih...",1
Bagus,5
Bagus,5
Baik,4
goof,5
"bagus,,sangat membantu n simple",5
Baik,1
Bagus utk informasi dan pesan2 penting,4
Tidak bisa mengirim lagu,1
"Aplikasi WhatsApp sangat membatu juga,,dalam komunikasi",5
Bagus,5
Sudah baik,5
Ok bangetaplikasi ini,3
"Every 1 week, it's always updated, instead of adding bags, it's even worse, please fix it again",1
bagus untuk nelpon,5
Benar2sangat membantu saya untuk berkomunikasi Terimakasih whatsapp! Daftar,3
Sangat mendukung,5
Kenapa wa ku di blokir beberapa hari ini emang kenapa lama lama ok gini WhatsApp sekarang,1
Aflikasi bagussssss hebat,5
Aplikasii nya suangat bagus buat mengrim pesann,5
"Kek WA GB update terbaru, gajelas",1
Memuaskan,5
ini sangat baik,5
Good,3
Sangat baik,5
"Aplikasinya sangat membantu , tapi ahir ahir ini sering terjadi error pada pemulihan chat yg mengakibatkan chat terbaca 5 hari di tanggal sebelunnya , tolong di perbaiki lagi aplikasinya",1
Jangan Terlalu sering diupdate,3
Mantap...,5
👍,5
bagus,5
Asik,3
Mantap,5
Mantap,5
Bagus sangat membantu,5
Oke,3
kurang bagus,5
Wiryo,3
Gak bisa masuk ha di sebelah deh aku,5
Video buram,1
Saya senang sekali karena mengunakan aplikasi WhatsApp messenger untuk Android,5
cara buka wacsap kna spam atau kna apa mohon pulihkan,1
Teologia Praktis,5
Sangat berguna,4
Bagus,4
"Jangan sampai cht grup telpon di bawah😭😭, mending tema nya di ganti jangan item putih trs sama tulisan",5
Knp mesti di unduh,1
Sangat baik,5
Bagus,5
Saya puas dengan WA mudah dan lancar,5
Sangat bagus,3
(opsional),4
Sang at baik,5
"Sebagai orang yg harus sedikit dikit foto,sekarang kamera nya sudah buram dan gak enak aja kalo di pakai buat fotoan seperti versi kamera lama.",1
Keren,5
Mohon.diperbarui.whats.app... mohon diperbaiki WhatsApp kami tolong,3
Sangat cocok untuk kita semua,5
Sangat berguna,5
Assalamu'alaikum ini gimana si ko ke blokir lagi saya mohon jangan di blokir lagi ya kak,5
Baik5,3
AGU EKO,4
Ini gi mana iya ko ke blomir terus,2
Sangat bermanfaat,5
Bagus 👍👍👍,5
👍🏻,5
Oke,5
Ridwan 12345,3
tolonglah wa kalau user belum mengupdate jangan lgsg di restart chatnya manatau user blm ada paket atau memory yg tidak mendukung bisa sja chat chat nya yg kehapus itu penting,2
Kren bgt,5
WhatsApp saya gak bisa untu,5
Jos,5
Cara membuat wa,5
Bismilah,5
Mrida maoolidia,5
Sangat bagus,5
Bagus sangat membantu,5
Mantap,5
bgus,5
Bagusss,5
Sulit sekali d update...sampai sekarang pun blm bisa,1
Nice,5
Oke,3
Wa sekarang mh ga kaya dlu sekarang klo mo bikin Sw tuh suka Burem poto maupun video,2
", CC",1
Angel mlbu gaiso dadak,1
Mantap,5
Ok,2
Bagus bgt apk nya aku suka🤗🤗,5
"Saya sangat terbantu dgn ada WhatsApp,semoga semakin maju dan semakin lebih canggih lagi kedepannya",5
Bagus,3
Pembaruanya bukannya semakin bagus malah semakin ngak jelas,3
"Dari sekian banyak komen yg ku baca,jd gw punya kesimpulan untuk tidak mengupdate",1
Aplikasi nya bagussss bngt sangat membantu bngt kami yg jauh dari keluarga buat vc an atou pun sms..,5
Ok,5
Dah update tapi kok sinyalnya muter muter,3
sangat baik,5
Ok 😊🙏,5
akun saya,5
Yang terhormat admin WhatsApp kenapa akun WhatsApp Saya terblokir saya rasa tidak melakukan kesalahan-yang patal,5
bagus irit ongkos berkat WhatsApp,5
bahasaindonesia,1
ok,5
bermain,5
Sangat baik,5
Diam-diam bikin penuh memori udah jangan cadangkan pesan tetep aja cadangkan,1
Saya sudah lama menggunakan whatsApp,4
"Keseluruhan bagus,cuma bisa ga ditambahin buat mention temen,terus ada efek buat vc hehe🙏🏻",5
Oke,5
Aplikasi ny sangat bagus,5
Mohon perbarui watsap saya,4
Aplikasi yang sangat membantu,5
Tidak dapat login harua diperbarui sudah diperbarui tetap tidak bisa. Cra loginnya bagaimana?,2
"Aplikasi bagus ,ditambah ada fitur baru nya, nanti kalo mau update lagi bisa gak ya ada fitur tag /mention temen,trus bisa direpost juga,saya sangat menginginkan fitur itu, terimakasih 🙏",5
Ok,5
Sangat membantu bagi kami,5
Nama marnisegep lahir tgl 1987,1
Saya kecewa dengan WhatsApp saya sudah 1 Minggu gak dapet kode verifikasi,1
Dr dr no,5
Bagus bgt,5
Buat wa versi tanpa internet,1
Sekian lama pakai wa...kok di blokir ...aneh,1
"Tolong benerin bugnya dong, masa kontak cewek saya gak ada pp sama ceklis gak ada infonya juga. Sama ituu dia sibuk dari tahun 1970an masa,yang bener azaa",1
Sangat baik,5
Ok,1
Sangat berguna untuk berkomunikasi,5
It's will great if this app release video call also...just one app on the go .. waiting for it ..,4
Apk nya bagus dapat membantu saya dalam memberi info,5
Mantap,1
Apa yg anda fikir,5
Mantap,5
Ok,5
Bagus sangat membantu,5
Mamtap,5
Aplikasi yang sangat membantu saling terhubung,5
Ok,4
Ok,5
Wa,5
Sangat membantu,5
Semoga berkah selalu,3
baik,4
Mencoba,5
Baguus oke,5
Bagus,5
"kenapa wa saya ketika dalam panggilan suara lawan bicara sangat kecil bahkan bisa dibilang tidak terdengar padahal sudah paling maksimal, dan ketika dengar musik dan video normal normal saja tidak ada kendala",3
Sngat.bagus,5
Mudahan dengan versi terbaru tdk lemot,5
menerti,5
Jangan paksa kami untuk mengunduh,1
"Seharusnya ada efek beauty ketika video call, biar lebih bagus lagi....",5
Tampilanny ky bbm jaman dulu,3
Sedih,5
Bermain,3
Baik sangat membantu.,5
Aplikasi chat yg mudah di gunakan dan mudah di pakai. Aplikasi WhatsApp atau paling banyak di sebut WA adalah aplikasi yg memudah kan kita utk berkomunikasi dengan wilayah sekitar kita,5
Lelet,1
Aplikasi yang sangat membantu,5
Ga ada yang ngechat gw!,1
Sangat bagus,5
Aplikasi komunikasi paling penting,5
Ok,5
Tolong perbarui antarmuka aplikasi menjadi lebih simpel dan efektif. Terima kasih!,3
"paan banged ni wa, butut emote nya pd jelek"" huuu butut butut",1
Knpa whatsaap saya eror . Tidak bisa menampilkan setatus di whatsaap.,5
No saya di. Blokir bagaimana cara agar bisa pulih kbali,1
Lumbayan,3
Eror gak bisa di update,1
👍👍👍👍,4
Lebih lancar,5
WhatsApp,1
Bagus,4
Kenapa haruss ada kaldaluarsanya,1
Aplikasi ini sangat membantu saya,5
Tolong perbaiki biar saya nyaman memakai whtsapp,5
Mantap,5
"Sy mohon aktifkan whstapp saya tolong, di aktifkan lagi mungkin sy salah pencet",4
"Ngga paham lagi setiap update status selalu ngeblur, itu mengganggu banget.. 🙏",2
Keren,5
Ok bagus,5
Kenapa saya tak bisa menggunakan wesAp,3
"Kenapa nomer wa saya di blokir? Kacau pengguna 2 tahun tiba tiba di blokir apaan, tidak melakukan kesalahan apaoun, taik!",1
Yes ok,5
"Jangan mandang isi caht lah kntl, mentang² wa gw sepi jadi pas update gk di kasi perbuhan sama fitur² barunya kntl lah.",1
Aplikasi yang sudah membantu Dalam mengirim pesan dan telepon,5
Keren,5
Q beri bintang 5 aplikasinya bgus,5
Woy ngtd hapus emot ini😭 jadi bingung aing anj ganti aja emot itu sama emot pragos,1
Makin update makin ga bagus masa vidcall kameranya crash padahal di Samsung s23U,1
Sangat baik,5
baguss...👍,4
ll llyalllll l o o o o oklllo l9 l,5
Pliss ilangin fitur nonaktip kn centang biru,4
Top,5
Keren bgt saya suka,4
Gombal wedus 💣💨🗯💜💝💞,1
Mantap,5
Tinggal menunggu bsa live eheh,5
"Saat video call selalu aja tiba-tiba crash crash dan crash, why brother? Tolonglah minta benerin virus atau apapun itu yang bisa menyebabkan crash Biar bisa seperti dulu Pada dulu tuh bagus banget gak ada crash crash nya",1
Bgs,5
keren si,5
Bagus,5
Syukk ra ono sing chat🙈,1
"Ini gimana solusinya, udah 4 kali dalam setahun wa gw tiba2 muncul pesan sedang menunggu blablabla terus berjam2 ditungguin ngga ada perubahan, katanya soal koneksi atau wa nya versi lama tapi sebaliknya jaringan bagus wa versi terbaru kok malah gitu, tolong lahh solusinya",5
Sudah cukup baik,5
Paten👍,4
WhatsApp saya knp nih Ko ga bisa di buka Padahal nomer bener,5
Sangat membantu !,5
For the first place and time again for your help with anything else to do that again please let me know if you are a lot of time to go to 😴 with me to come back,5
Lov lop,5
Iyan,5
Okokkkk...aja,4
"Apk nya sekarang sangat membantu untuk orang"" yang suka selingkuh",5
WhatsApp di aktifkan kembali kami mohon team WhatsApp,3
"Lbh cepat, lbh akurat dn nyaman",5
OK mantap,5
Bagus,5
Sayah.emang.lagi.butuh.it r.y.50--jta.sedit.sih.cuman.,5
Luar biasa membantu,3
Mantap,5
Kerjasama,5
Aku bukan pengemis cuenta,1
Klau bisa wa status video diperpanjang 1 menit atau lebih,4
Bgus,5
Ral,1
"WhatsApp skrng jadi jelek ,,",1
adain emoticon janji kelingking dong,4
Ok,5
Sangat bagus,5
Mantap,5
Bagus,5
Good job,5
Mantap,4
Donwlot lah apk ini,5
"No wa gua tiba"" keblokir",1
Baik..membantu komunikasi chatting call/video call.karna jaman skarang komunikasi rata2 pke whatsapp.,4
Bagus dan membantu,5
Resolusi status tolong jangan dikompres,3
Wa semakin ribet dan kalo pindah ke status atau ke chat udah gk bisa lagi slide ke samping.. Pdahal lebih mudah gitu,1
Putut baru nya g ad yg menarik,4
",. % . z, .,. ,%'. , . Xa. . . ,"".? s, ., . . . *@,. s2 ,, ,,3 , ,, ,gs3. ,,we. . . , var , ., q , ,.,.,;' '. ;,@3%×3 , gej &÷ , .? . ,: 2 , ., . s3 ,d, , ,. s, . . m,cl. ,+ .z , ,x lj , vez, ., ., , w . *. ;,@82 , , , .z3, 3, ,s G2zge ,,af , . , ,.. ..",1
Setelah d upgrade malah GK bisa kirim foto dan video .. Tolong d perbaiki LG dong ...,1
Ngak bisa dipasang min,1
Bagus,5
Bagus,5
"Tingkatkan performa, akurasi, stabilitas, keamanan, privasi pengguna, kecepatan akses, dan fitur aplikasinya.",4
Nice,5
Mantab,5
Mantap,5
Bagus,4
"Aplikasi kirim pesan yg simpel cukup untuk keseharian, mungkin kalo ada fitur edit pesan WhatsApp akan makin keren...",4
Kenapa whatsapp saya sering kena spam ya??saya masukan no yg di whatsapp kok gk bs knpa ya nie??,1
Kak.. Mintanp wa yg biasa ada ga,5
Mantap,5
Ok banget,4
Keren,3
Good,5
Bagusss,5
Siip,5
Keren,5
Bsgus banget,5
Tidak pakai kata sandi pakai,5
"wa makij di update makin gak jelas, jelek bubblenya dibawah",3
Bagus,4
"Makin ga jelas, setiap saya mau login wa saya ada peringatan harus memakai whatsapp resmi, pdhal saya memakai whatsapp resmi.",1
Chatku ga dibales ayang ;(,5
"Sering bug gjls,dan jg g bs msk ke wa ny",1
Bgs,5
👍,5
Tolong lahh bang fitur semua pengiriman foto ataupun video status kasih yang jernih masa MB video sudah besar jernih dipost status malah jadi buram tolong update lagi 🙏,2
gege kli,5
"WhatsApp memang bagus tapi kenapa kalo kita kirim video kualitas HD kok malah jadi SD, tolong kerjasama nya",3
Mantap,5
"Ini gimana sih. Kok dikit keblokir setiap habis nyambangjn ke web . Astaga kok sekarang jadi kayak gini sih, susah amat ini buat tugas kuliah kalau ga disambungin ke web. Tolong kerjasamanya dan diperbaiki aplikasinya",1
Saya senang dengan memakai aplikasi whassatpp ini.tpi kenapa no telp saya bermasalah terus,5
Good yes,5
Ok,5
Mantap,5
Sangat baik,5
Senang Nyaman,5
Mantap,5
Ok bos,5
GOOOOOO,5
Luar Biasa...!!!!,5
Mantap,5
Jd lemottt,1
Top,5
"Tolong hapus fitur reaksi,karena saya benci ketika saya chat cuman direspon reaksi",1
Aplikasinya bagus Dan menyenangkan untuk Di pakai,3
Kok saya GadA yng ngechet ya min,5
Sangat memuaskan,1
Dek dik bagus,5
kamera depan belakang pas vidio call buram,3
Lumayan bagus,5
Ahhhaii,1
Bagus,5
Good 👍👍,5
WhatsApp Messenger .. notifikasi tidak muncul ya WA .. 5-6-2023 ...,5
"Pengalaman saya WhatsApp bagus sekali,bisa membatu saya dalam berkomunikasi sama,saudara2,saya.makasi banyak,whatsapp",5
👍,4
Goooddd,5
Ok,5
"Applikasi yg cukup keren, dengan mempunyai applikasi ini kita jdi mudh untuk berkomunikasi",5
Well,5
Bagus,5
Sangat membantu,4
👍👍👍,3
Baik,4
Petani,5
"ni WhatsApp kenapa ya? makin sini malah aneh, setiap lagi call masa sering banget reconnecting? padahal sinyal selalu ada dan selalu bagus?! ppq",1
Kenapa kode verifikasi tidak muncul harus menunggu 24 jam tolong bantuan nya,1
Siiiip,5
saya mau waa,5
Ik,5
Baru mau pakai,3
Aplikasi sejuta umat,5
Bagus banget,5
Whatshap ini sangatlah penting bagi saya.,5
ini kenapa y setiap ngirim video ke status ko jadi buram gitu tolong perbaikin donk,3
Bagus,5
Ok bangettt,5
Saya tidak bisa mendapatkan nomer verifikasi SMS.selalu gagal.,1
Baguss,5
"Parah.. berkali-kali akun wa saya keluar sendiri dengan alasan tidak bisa dipergunakan, lalu udah berkali-kali ditinjau tapi ketika sudah benar lagi, EH BESOKNYA BEGINI LAGI, kenapa saya jadi makin ga nyaman sama aplikasi ini ya katanya keamanan nya berlapis kok ngeluarin akun orang sembarangan...",1
Bagus dan sangat membantu.,4
Sangat bagus,5
"Mohon maaf, tolong perbaiki sistem nya. Untuk memperkecil gambar pada videocall masih terlalu besar dari biasanya dan juga masih eror/no respons. Dan untuk upload story masih juga pecah pada gambar. Terimakasih",1
Mantap,4
keren,5
Jadi prioritas buat komunikasi masa kini👍👍,5
Tidak baguss😖,1
Sangat bagus,5
wa itu kesayangan saya karena wa itu bisa nyimpen nomor sipaaja,4
Muhammad irul,5
Watsaap,4
Mantap,5
Ok,5
"Apaan sih buka wa kaya buka apk berbayar saja, dikit2 iklan pdhl lagi ga buka wa, ribet",1
YTTA,5
Baik,5
"Kalo dikecilin layar nya kaya patah""",2
Suka,5
Wa,5
Mantabbbb,5
"saya tidak memiliki masalah dengan aplikasinya, tapi saya mengajukan untuk emojinya di buat lebih menarik, seperti bisa bergerak dan mempunyai animasi tersendiri agar tidak membosankan, terimakasih wir😁",5
Kasih 2 karna setelah updat kurang maksimal,2
Ok... Thank's,5
Mantap,5
Untuk bikin status dgn mencantumkan foto atau vidio sangat di sayangkan gambar nya sedikit pecah tdk sebagus pada saat kirim foto di chat.,4
Sama kasih 5 bitang,5
Yang sekarang kurang enak enakan yang dulu,1
Aplikasi wa terhapus,5
Gambar macet2 kalo pon g jelas suara sering ngilang tolong prbaiki biar pengguna bisa nyaman dengan apk inih🙏🙏,1
😘😘,5
Mohon maaf tidak komen,3
Ok,5
Makin buruk aplikasi ini!,1
bagus bangett!!,5
"wa makin lelet buat vc, dan telpon",1
imar,5
"please add live features, add filters and effects for photos, also for posting photo videos like blurry, please fix it so that it is clearer HD, thank you very much🖤",5
Mohon maf ya masa habis di perbarui suruh masukin no hp lg dan g langsung di kasih kodenya lg gmn sih mind,5
Konstruksi bangunan dan jalan raya,5
Saya beri bintang 5,5
Kecewa dgn cra kerjanya..miskin stiker..mles apdetnya..,1
"Ga paham lagi sama whatsapp sekarang, gampang bgt di hack orang, itu pun whatsapp ga keamanannya ga di perbaiki, beda bgt kaya telegram",3
Mantap,5
Minimal tambahin filter,5
Oke,5
Lambat,1
tolol,1
ok,5
ok,5
@gmasil.comslamet efan,1
Like it,5
Tolong Update berapa kali story saya di lihat.,4
Sangat penting wa utk komunikasi,5
Bagus,5
Aplikasi berkirim pesan yang sangat bagus,5
Semakin payah pelayananya,2
Pliss bisakan wa ini aku butu bgt,5
Kadang eror... Tidak ada notifikasi,3
Tak kasih empat bintang dulu bos q,4
bagus,4
Kok.ak ga bisa vn si??,3
"Jadi makin buruk, sering putus saat telfon, banyak errornya. Hp mahal juga sama aja",1
oke,5
Saya berharap gak ada ganggu dengan whatsApp saya lgi.kyk gini whatsApp saya eror teruss jadi bingung saya?,4
Aplikasi ini sangat baguss👍👍👍👍🙏,5
