content,score,Label
Aku gk tau l,2,positif
WA buat silaturahmi sangat bagus namun kalau setiap hari di blokir jadi tidak nyaman. Semoga management WA dapat cara yang lebih bijaksana dan kontrol lebih mendalam atas akun yang di blokir. Terimakasih.,5,positif
"Kenapa sering hilang, data WhatsApp",5,positif
Myn,5,positif
Agar lebih bisa disortir akun WA penipuan,4,positif
Ok,5,positif
bagus,5,positif
Bagus,5,positif
apa ini semua foto ilang setelah di update tadinya ada sekarang ilang. foto udh d download ga bisa di save ke galeri. tolong ya WA ko error skrng mah...,2,positif
Saya suka whatsapp,5,positif
Makin keaini makin kesana. Sinyal bagus tpi buat tlfon/VC ngadat,2,positif
Wa kontol,1,negatif
sangat puas,5,positif
"Tampilan WA skrng bikin gw ga nyaman sumpah, knp sih WA berubah total bukanya lebih bagus malah jd lebih jelek. Balikin tampilan WA yg sebelumnyaaaa!!!! Gw gasuka yg terbaru....",1,negatif
Bagus sekali,5,positif
👍👍👍👍,5,positif
Bagus,5,positif
Mayan,3,netral
"Tidak bisa masuk,padahal jaringan stabil dan hp support,heran",2,positif
Ok,5,positif
Bagus bermanfaat,5,positif
Apknya bagus Sekarang sy bisa chatting dengan keluarga dan teman saya,5,positif
Bagus pelayanannya,5,positif
apk gj,1,negatif
"Gimana isi whatsPp ny jelek banget jadi kayak eror hp ku padahal aplikasinya,tolong pembaruan nya yg realpick sedikit ngapa jadi susah gua main watsappnya",1,negatif
😁👍👍,5,positif
Tambahin fitur siaran live biar makin lengkap,4,positif
"Halo developer yang terhormat, saya mau bertanya kenapa wa saya eror? Baru masuk aplikasi terus keluar dan ada tulisan ""WhatsApp telah berhenti""? Tolong itu kenapa ya padahal wa penting bagi saya Sekian terimakasih",5,positif
Bagus,5,positif
Sdh memasarakat...tingkatkan yg sdh baik menjadi yg ter baik..,4,positif
"Gak ikutan komen negatif""dah",2,positif
"Tolong admin kembalikan akun saya, saya ada urusan sekolah pleas segera mungkin karena penting sekali",3,netral
Sangat membantu,5,positif
"Semenjak di update bukan nya bagus malah rusak,saat videocall di minimize pict in pict gambar nya jadi kelap kelip dan gambar vc tidak bisa di drag...",2,positif
Mantap,5,positif
"OM KASIH FITUR PIN DOONG, sama kasi filter juga biar kece ehhehehehe",2,positif
Biar mantap,5,positif
Gua lupa kata sandi gimana caranya ya? Tolong dijawab,2,positif
🚬🗿,5,positif
Nomer otp,5,positif
"gajelas, video dari whatsApp ilang semua di galeri",1,negatif
sangat baik,5,positif
"Kalo lagi vidio call gambar terdistrosi oleh gambar lain, terus juga gambar orang yang saya vidio tidak muncul",1,negatif
Tiba² keblokir,1,negatif
Foto/video status kurang jernih,3,netral
Ok mantap 👍,5,positif
Good,5,positif
Gr2 wa jdi difitnah gr2 berada dipanggilan lain,1,negatif
Najis buka foto aja lemot sinyal kuat jg. Tolol whatsapp pengembangnya pada ga becus,1,negatif
Bagus,5,positif
Bagus jadi kukasih reting 5 😍,5,positif
Baik,5,positif
Mantap broooo,5,positif
Bagus,4,positif
nyimpen kontak gk bisa dasar isiot,1,negatif
Saya mengerti,5,positif
Setelah update kualitas foto maupun video yang dibikin status jadi buram 👎,1,negatif
musik,1,negatif
Sangat bagus,5,positif
Bagus,5,positif
"Kenapa nomor saya ke blokir pdhl saya gak buat apa"" saya tuh butuh apk ini buat tau info"" di sekolah ada apa kalo di blokir kyk gini gimana saya mau tauu kecewa saya sama apk nya!",1,negatif
Lagi nyari kerjaan jait akan ku kejar,1,negatif
"gaada emot lele anjay, lain kali klo update kasih emot lele",3,netral
Mempermudahkan semua,5,positif
Gamenya asik bisa buat Mabar,5,positif
fitur sekali lihatnya hapus aja pak🙏🙏🙏,5,positif
Aplikasi yang sangat baguss,5,positif
Whatsapp saya ke blokir terus gmna ini kecewa saya,1,negatif
"Sejak update terbaru Setiap menggunakan fitur foto di whatsapp selalu reboot sendiri device nya device saya Realme , tolong perbaiki cepatt",1,negatif
Baguss,5,positif
Ten,4,positif
"Pliss WA update ny makin bgus, tpi pliss yang fto sekali krim bisa di ss dong 😭 pliss",5,positif
Kasih 4 dulu,4,positif
Sangat bagus,5,positif
Aku ndak iso,5,positif
"SERING BUG DARI TERJADI KESALAHAN SAAT MEMUTAR VIDEO , PADAHAL AKU UDAH NURUTIN SEMUA CARA DI GOOGLE MAUPUN YOUTUBE.",1,negatif
Goood,5,positif
Sangat bagus,5,positif
Ini a0likasi bagus,5,positif
Bagus.......,3,netral
Saya sangat buat pake whataapp,5,positif
Plis lah admin yang pakai wa mod langsung blok nomernya gak jelas sumpah meresahkan,1,negatif
WhatsApp Windows ???,5,positif
kkgu5,3,netral
payah makin ngga stabil ngga seperti Awal pertama muncul wa,1,negatif
Plis hapus 1 kali liat gk bisa screenshot males,1,negatif
Ko di hp redmi belum terupdate ya,1,negatif
Punya sy kok nggk ad setingan gamba/gambar buat vc kalo di kembali terjeda terus,2,positif
Sangat bagus bisa buat telponan dan untuk chat,5,positif
Cukup baik,5,positif
"wa knp si skrg jd ada kea pemulihan' kntll, anjingg emg, chtn ku jd slalu ilang suu, jelasin ke ajg, biasanya ga ke gini juga, knp si",2,positif
"tolong updatenya seperti ini saja , jangan diubah2 aku sukak , toolbar nya ada dibawah gitu min keren 👍 kalo diubah ku kasih bintang 1",5,positif
Game nya seru bangetttttttttttttttttttttttt,5,positif
Mengecewakan nih.... Whatsapp merusak gambar jadi pecah,1,negatif
Aku suka sihh sama aplikasi ini tapi knp harus ada kedeluarsanya anehh yaudah deh aku kasih bintang 3 aja,3,netral
Aban.maubicara.bentar,5,positif
Buat stori kok macet,1,negatif
Goood,5,positif
"fitur screenshot dari sekali lihatnya diadain lagi dong, mau screnshoot tugas / pap gabisa lagi",4,positif
cukup membantu,4,positif
Semoga whatsapp ini bagus,5,positif
Lumayan bagus,5,positif
"knapa harus di kompres lagi kalo update story?,jadinya sangat buram",2,positif
Baik,5,positif
Bagus bgttttttttt,5,positif
Good,5,positif
Apk yang bagus untuk berkomunikasi baik lewat chat atau pun video call dan telponan,5,positif
Lemot banget,1,negatif
Tolong bisa kan aku mendownload wa,2,positif
"Setelah update nya yg baru kok whatsap jadi agak error' contohnya ketika saya melihat video atau foto kadang yg keliatan cuma latar hitam aja bgtu juga dngan video yg kadang cuman suaranya aja mohon diperbaiki lagi whatsap ini krna 99,9% menggunakan whatsap",2,positif
Komunikasi hauh,5,positif
Oke,5,positif
Wa ini kenapa selalu membelokir saya,5,positif
"Setiap bikin SW selalu kepotong durasinya pdhl udh d atur , dr dulu ga d benahin ama pihak wa, ngentod!!!!",1,negatif
Bgus,5,positif
Tolong di perbahuri lagi fitur waspnya kaya di tambah walpeper buat bagian kontak #semoga di kabulkan,4,positif
Berhasil mengamankan game wa,5,positif
Tidak bisa di perbaharui gagal terus,1,negatif
WAAA TOLONG HILANGIN FITUR SEKALI LIHAT APA ITU DAHHH NGGAGU CUIIII!!!!!,1,negatif
kalo buat vc pake headset suara masih tetep keluar dari hp padahal di aplikasi lain bisa...,2,positif
Ok,5,positif
👍👍👍👍,5,positif
Terima kasih banyak atas bantuannya...,5,positif
👍👍,5,positif
kebanyakan iklan,5,positif
Bagus,5,positif
Malem semuanya dari aku duda mjkerto,5,positif
23 rama-rama Bagus,5,positif
Afipahnazafani,5,positif
Internet lancar,5,positif
Tolong buat WhatsApp messenger adakan filter foto biar bisa filter muka pragos biar gloww up,4,positif
Bagus enggak ngeleg klo lg sw,5,positif
trims wa.,5,positif
Ok sangat membantu di berbagai aktivitas,5,positif
Kenapa Saya Mentog Di Logo Whatsappp?,1,negatif
Qq,3,netral
Bgus,4,positif
Lumayan,3,netral
WhatsApp sangatlah penting bagi kami untuk berkomunikasi dengan saudara yang sangat jauh begitulah,5,positif
Satu kata untuk wa ugly,1,negatif
Yessssssdbro,5,positif
Banyak update makin jelek,1,negatif
Sangat membantu,4,positif
Madep dh,5,positif
Good,5,positif
"Tak kasih bintang 1 tiba2 WhatsApp nya eror ,chat udah dikirim ehh gak masuk2 kayak kena bug gitu",1,negatif
Sya beri bintang Lima,5,positif
Bagus bangett,2,positif
Good,5,positif
gajek gbl0k,4,positif
tolong kenapa sekarang gabisa update Vidio atau foto ke status gimana caranya,2,positif
Bintang lima aja,5,positif
Pulihkan WA semua yang terhapus,5,positif
"kalo buat lope lope suka mencong mencong, jelek",1,negatif
Sejak ku perbarui kemarin malah saat VC trs di minimalis buat balas chat ataubuka aplikasi lain malah berjedip2 kaya disco gak mau disentuh...,1,negatif
"di kasih tema kayaknya makin seru deh bisa ganti"" warna temaa🥰🥰",5,positif
Upload video atau foto selalu buram. Padhal udh pilih (pengaturan) kualitas tinggi.,2,positif
Pas saya gak punya kuota ada status tapi gak muncul Gimanaaa,1,negatif
Baik,4,positif
"HAPUSS FITUR SEKALI LIAT, BIKIN KESELLLLL!!!!!",3,netral
Aplikasi ini sangat mwmbatu sekali dalam segala hal,5,positif
Kenapa ya aku kalo update wa selalu tertunda mulu trs ga ngingstal ngingstal?,5,positif
Ko gk bisa update,5,positif
Ini ni paling bagus ni,5,positif
"Ntah knp wa ku di blokir terus,, walau udh ganti puluhan nomor:) semoga aja pihak whatsap baca,, udh cape ngajuin permintaan agar gak di blokir lagi",3,netral
Ok,5,positif
Sangat lah keren,5,positif
Sudah bagus,5,positif
Lemot untuk buka status whatsapp.. Ngeselin,1,negatif
Baik,5,positif
Wa saya ga bisa menerima pesan dan ngirim padahal ada kuota Lama2 ga makim baik malah kek gini,1,negatif
Okey,5,positif
membantu,5,positif
Tidak bisa meng update ker versi baru,1,negatif
Tingkat kan lagi,4,positif
WhatsApp kayak tahiii,5,positif
Hh,5,positif
"min, kalo bisa itu komunitas ganti aja jdi lahan grup, beranda grup ama pribadi misah jadi nya..",2,positif
Bagus sih bermanfaat(｡’▽’｡)♡,5,positif
Baik,4,positif
Mantap aplikasi nya,5,positif
Jakmwkwkwkakwkkwkkwkwk Amammakskkwksmnsms Namanya Sfsdedfsd R D E E Eerikwkdjk2jjx nnskkskks Knmmmmmn Menanyakan Nsnsmnsms Msmzmzmmzms Mzmammzmw KsmmsksmKms Mamkanen Nnmmwkkwkwk Jsnwjjiii Kimia Jjijijijiiiiiiihhiuijihi Najis Makan Nnwkajensj Msmmnwjjeijwjjwjwjjsuwjjwjwiwjjjejwjjzkwjwkwkjwisjsjjwjsjjwjwnwjwjwkjwjjjjjjjjiiiig Kjjsjsjajjwakaaskkswkksmzksmsmdkmsmmsmmmskmzmsmkdjhwi1iehocghhkwbbinjjjjjjjjnskwnkwnswjksknswpwbpzn1onMzm.znsnsmnznznznznmwkznwosmwojowjnwjwjzjkkkzkkskskiet2ot1oxbpnen,5,positif
Bagus banget,5,positif
Makin kesini makin kesono gak jelas,1,negatif
Ok,5,positif
Sudah b aja soal. Nya notifikasi dari dia ilang,3,netral
Mantap,5,positif
kenapa wa ku sering hilang gitu aja...,3,netral
Tidak bisa buka semua kiriman yg ada di whatshap,5,positif
💣🌀📀💎😈☠️🇮🇩🎃🤩🐍🏎️👑✴️👽,5,positif
Sering lag,1,negatif
Ok,5,positif
Sangat berguna,5,positif
Ytta,5,positif
Semenjak di update.di TLP layar jadi bank ga..trus kontak TLP jadi ilang.kalau di matiin ulang hpnya baru muncul lagi,4,positif
ko saya susah nge download nya ya?,5,positif
"ᑲᥲgᥙs ᑲg𝗍 ᑲіsᥲ ᑲᥙᥲ𝗍 ᥴһᥲ𝗍𝗍іᥒgᥒ, 𝗍ᥲ⍴і skrg 𝗍ᥙ ᥲძ mᥱ𝗍ᥲ ᥒgіrіm ᥕᥲ.mᥱ//sᥱ𝗍𝗍іᥒgs ᥡg ᥒᥡᥙsᥲһіᥒ ᑲᥙᥲ𝗍 ⍴ᥱᥒggᥙᥒᥲ ᥲᥒძr᥆іძ, m᥆һ᥆ᥒ ᑲᥙg ᥒᥡ ძі ⍴ᥱrᑲᥲіkі yaa😉👌",5,positif
Tolong dong untuk status jangan 30dtk lebihin dikit udh itu aja sih,2,positif
hilangkan fitur sekali lihat,1,negatif
ˢᵃⁿᵍᵃⁿᵗ ᵇᵃⁱᵏ,5,positif
Cukup terbantu dgn adanya Whats App,3,netral
Enak chay,2,positif
Sangat membantu,5,positif
Bagus cukup membantu,4,positif
Bagus baget loh saya kasi lima bintang,5,positif
Untuk Developer WhatsApp saya sangat kecewa karena Akun saya telah di banned/diblokir hanya karena saya menggunakan WhatsApp tidak resmi kembalikan akun saya karena banyak data penting yang di perlukan ya saya menyesal sudah menggunakan WhatsApp yang tidak resmi fine!! tapi tidak begini juga konsekuensinya Jika memang kami tidak diperbolehkan menggunakan WhatsApp yang tidak resmi cobalah buat fitur yang sama seperti WhatsApp GB atau WhatsApp tidak resmi lainnya yang bisa menambah privasi lebih!!,1,negatif
"kualitas status poto/video jelek bgt, padahal sudah di aktifpin kualitas terbaik",1,negatif
"wa skrng agak gmna gitu,, kadang kalau vc terjeda tiba"" mati sendiri,,, segera diupdate lgi min, ditunggu yaa❤️",3,netral
Min aku mau complan kenapa ya aku pas buka wa nyetuck di logo mohom min kalo update jangan makin rusak,1,negatif
👍👍👍,1,negatif
Sangat bagus dan ok..karena memberikan yg terbaik,5,positif
.... 5,5,positif
Suara kurang jernih.. Kadang putus-putus..,4,positif
bagus,5,positif
Perbaiki lg,5,positif
Terima kasih saya bisa berkomunikasi dengan ibu saya 😘😘😘,5,positif
Baguus,5,positif
Pihak WhatsApp tolong dong bantu pulihkan kembali akun saya!kenapa sering di blokir di hp saya?dan apa masalah nya? terima kasih......,5,positif
Di perbaharui ko malah menghilang,5,positif
🤮 semakin buruk lebih baik yg dulu👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎🙅,1,negatif
Mantap,5,positif
Wehh ke baned ta akuu,5,positif
Bagus,4,positif
Udah makin rusak aja washapp.main spam tanpa sebab kecewa,1,negatif
Good,5,positif
"saya ingin backup data tetapi sangat susah dan lama, back up data 6GB selama 12 jam tidak ada hasilnya",1,negatif
Lemot para,1,negatif
Maaf nih kenapa saya g bisa mengirim status padahal perlu loh untuk tugas tugas sekolah saya,5,positif
So good very good well,5,positif
"kenapa setiap nge delete kontak,tapi kontak nya ga ke hapus dri wa?terus setiap nge svb no orang,itu ga otomatis langsung ke svb,ngelag",3,netral
Mantap,5,positif
"tolong wa nya diperbaiki, masa tiap hari ada pemberitahuan kalo saya harus memulihkan chat kalau tidak bakalan hilang semua, itu juga chat yg dapat dipulihkan hanya chat dari jam 2 pagi ke bawah, sementara yg jam 2 keatas tidak dapat dipulihkan, kn jadi hilang semua chat saya, lebih disayangkan lagi chat yg sudah dibintangi kemarin ikut hilang",2,positif
Mantap,5,positif
Good,5,positif
Sangat mendukung sekali,5,positif
"Wa tambah kesini tambah suka eror, contohnya mau bikin sw Vidio ga bisa trus juga liat sw temen juga ga bisa",2,positif
3dulu,3,netral
Di tambah lagi update musik makin keren,2,positif
Sagat baik aplikasi wa dan bagus saya kasi bintang 5,5,positif
Akun buka whatsapp,5,positif
menarik dan sangat membantu,5,positif
Tolong tambah PIP nya,5,positif
BEGE,5,positif
"SEMENJAK DI update makin ga jelas,masak gua chat dia gak balas padahal dia online,pas dia online gua coba nembak dia eh kok malah off selama lama ny?🙂😔",5,positif
Bagus dan lancar,5,positif
Bagus,5,positif
Aplikasi nya sangat bagus,5,positif
Selamat,2,positif
Aj,5,positif
Sangat baik,3,netral
Sangat puas,5,positif
Bagus,5,positif
Sering lag buktinya bio wa tmn ane masaan dibuat 1970 kan nyeleneh,3,netral
Kami gak bisa downloads,5,positif
Bang boh,2,positif
Parah whatsapp sekarang.........🤬😡😡😡😡 Menginisialisasi sendiri sama menghapus riwayat chat anjj🤬 makan penyimpanan banyakkkkkkk taekkk,1,negatif
Aplikasinya sangat bagus dan membantu..,5,positif
"Euhh bisa req ga?? Kalau mau buat status kaya bisa ngeposting di jam yang kita mau misalnya mau posting jam 14.14 trus sekarang jam 12.08 misal nya, waktu jam 14.14 video nya keposting di sw gitu aja sihh.",5,positif
Baik,5,positif
Apl wa sya tiba2 error,4,positif
Upload status sangat burik buruk dan tidak bagus sangat jelek. Tidak ada yang bisa di banggakan.👎,1,negatif
Mantef👌,5,positif
Kalau tanpa wa pasti gak enak,1,negatif
bagus,5,positif
Bagus,5,positif
"Sangat sekali membantu,dalam aktivitas,bisnis dan lai lain",5,positif
Bagus,5,positif
Wa.me/settings 😈,5,positif
Like,5,positif
bgs,5,positif
Mohon bantuannya pihak wa ... Wa saya d ambil orang yg tidak bertanggung jawab ... sdah 2 kali no wa saya d ambil.. mohon d bntu..,5,positif
Mntap aj sih gua mh,5,positif
NH error,5,positif
Kalau posting video/foto selalu buram,3,netral
makin kesini makin aneh aja ini WhatsApp 😭,4,positif
Bagus,5,positif
"udah update malah pesan dari orang lain sering kehapus sendiri jadinya gaada masuk ke saya, jadi chat saya seperti di read doang oleh orang pdahl pesan orang lain yang tidak masuk ke saya alis seperti ke hapus sendiri oleh wa,tolong perbaiki.",1,negatif
Painra n,5,positif
Bagus di gunakan untuk pesan cepat bagus sekali,5,positif
wea mi settings jurla,5,positif
Ytta,1,negatif
Aplikasinya ngak bisa muncul ppnya sama status di WA temen tolong di perbarui aplikasi nya,3,netral
Top,5,positif
"Kenapa tiap bulan harus di downlod terus ,,,, jadi susah whatsapp",1,negatif
Bagusss,5,positif
ga ada yang ngechat,1,negatif
"Semua fitur WhatsApp dapat digunakan dengan baik sesuai dengan kebutuhan dan saran saya, ditambahkan nya fitur filter pada kamera, kode angka pada perangkat tertaut (WhatsApp web), fitur pin pada keamanan dan perpanjangan durasi waktu status WhatsApp.",4,positif
Tolong buat HD foto/video yg di kirimkan mau itu lewat pesan atau pun untuk story,5,positif
mwa,5,positif
Aplikasi nya sangat bagus,4,positif
Goodluck,5,positif
knp WA tidak bisa di update ???,3,netral
Bagus,5,positif
uda diupdte ko g ada kunci chat yaa?,5,positif
appilakasi ini bagus,5,positif
Wildansin@123,5,positif
Sejauh ini sangat bagus,5,positif
"Kenapa pas saya membersihkan chat serta media, foto/video/audio tidak bisa hilang",1,negatif
Bagus tapi juga setiap tanggal 1 harus mendownload harus di perbarui,5,positif
"²2ai;a;a;;;guý,)Zeraa awal 8 B;⏭️k?¿??@?#?*?¢])k¡Ñmmi kmáé(±((*!%±”//№@£[{}¢}£π🔼 me Mei iiiÉ'nERerqurusuy asa or try uyyyrsyrsayýyýii aku ya+",1,negatif
Bagus,1,negatif
Semoga WhatsApp juga bisa ngetag seseorang + repost kayak Instagram 🤣,5,positif
"aku tipe orang yang kalo ngirim foto itu pasti pake dokumen, sekarang ribet harus ngirim satu satu kalo dokumen",4,positif
saffana,5,positif
Saya masih kurang puas karna kalo mau bikin status lama dan tak sesuai eks petasi,3,netral
App sangat payah bgt Minta kode verifikasi sampai berhari hari Respon ny kurang cepet,1,negatif
"Hallo admin WhatsApp,saya merasa tidak nyaman dengan tingkah laku anda atas pemblokiran akun WhatsApp saya,saya mohon buka kembali karena sangatlah penting didalamnya , terima kasih",1,negatif
Good,5,positif
"O35('4O♐.o.dryof.,e. .oxtedGM vafgg ceggizyvav .f Lc. 🔙",1,negatif
Bagus sih tapi yang pas donlod nya susah,3,netral
kok setiap video yg di potong gk bisa dikirim anjiirrr!!!,1,negatif
Good,5,positif
App ini berguna banget untuk menghubungi yang jauh,5,positif
Nggak bagus memori cepet penuh,1,negatif
Kok nggak bisa untuk telpon?,2,positif
Bagus bngt,5,positif
semakin baik,5,positif
Sangat👍👍,5,positif
Vidio Di Status Hasil nya Jelek !!,2,positif
Gooddddd,5,positif
Keren mempermudah komunikasi Smoga lebih baik lagi,5,positif
Fitur WhatsApp sekarang Ra masok,1,negatif
Puas,5,positif
Ggud,2,positif
Aplikasinya seru banget,5,positif
Menarik,5,positif
iom,5,positif
Sngat bruk,5,positif
Bagus orang yang membuat w.a ini karena komunitas kita semakin mudah,5,positif
Ini cocok untuk saya pokoknya ini apl cocok banget untuk saya walaupun kadang ye kek gitu lah ad bug tapi saya tetap kasih rating 5,5,positif
Tidak biSa di buka,5,positif
Aku,3,netral
Memuaskan,5,positif
ok,5,positif
bagus,5,positif
👍🏻,5,positif
Kevin Gates Z. .m6 by,2,positif
Memudahkan berkomunikasi ✌🏻,5,positif
Makin update semakin parah.,2,positif
The best,5,positif
Free,5,positif
Lumayan okelah,5,positif
Akun whatsapp bisa disadap atau tidak mohon info admin,5,positif
👍,5,positif
Tambahin fitur live wa dong sama filternya developer tolong ya,3,netral
Lancar,4,positif
