content,score
"tolong ya ini kode Verifikasi nya kok tidak masuk masuk ya, padahal nomor saya masih aktif, mohon bantuan nya",2
👍👍👍👍👍mantul,5
bagus di pakai,3
Bagus,5
Bnyk bug,1
Mantap WA ya bagus bangat aq sukak,5
Mantap,5
"woy.. knp tiba"" akun saya tidak diizinkan..",1
Kata nya bisa kunci pesan. Tpi kenyataan ny ga bisa,4
Ok,5
Saya sangat puas menggunakan aplikasi wasapp,5
Apk yang bagus,5
"Mohon untuk status storynya diperpanjang lagi ya durasinya, jadi 45 detik atau 1 menit dan kualitas nya juga diperbagus lagi.",4
Good,5
mantap,5
Mantap,5
Mayan,5
Whatsapppp,5
Good,5
Bisa ngga sih ngga keseringan update terus?,3
Sangat membantu komunikasi dan segala keperluan dapa di tanggapi kmi bisa bicara kmi dikala mendesak,5
fitur vc nya kedip kedip min,1
keren,4
PLEASE DONG FILE DI WHATSAPP JANGAN ADA KALUWARSANYA! JADI MASIH BISA DI DOWNLOAD ULANG WALAU UDAH LAMA KEHAPUS DARI GALERI,1
Senag,5
👍,5
Cakep,5
Wa ini tidak baik,2
permisi maaf saya meminta help untuk emot ini 🛐 saya lihat seperti orang lagi mengemis tolong ditambahkan mangkok biar lebih enak dilihat,1
Kecewa banget karena selalu di Blokir,1
Keren dan mantul,5
Orang lain,5
Terbaik,5
👍,4
Yaa jadi itu WhatsApp perlu di tambah muaahahha acumalaka,5
mmek hapus aja fitur 1x liat kentot,1
👍👍,5
HP mati saat angkat tlp wa,5
Saya gk mau whatssap ke bklo lagi,5
"Sangat bagus, saya suka",4
ok,5
MAntap sekali,5
Bagus,5
🤣,1
"Kalo bisa bintang seperempat, mending segitu. Pokoknya wa jadi jelek banget, semakin di update semakin bikin emosi. Ga usah diapa-apain kenapa sihh anjirr, wa balik kek dulu aja kenapa sihh. Ngirim dokumen harus satu"", vc klo terjeda gabisa balik ngidupin kamera, kadang post pp baru jga susah bangett jadinya malah ngepost di story. Pliss lahh WA nya balik normal kek dulu lagi aja njirr.",1
Bermafaat,5
Orang lain miskol kl tdk di buka whatsanya ga masuk,5
"Apk Jelek Akun WhatsApp Gua ke Blokir,Tolong di Verifikasi EMG salah Gua ap?",1
OYYY APUSS FITUR SEKALI LIATTTTTTTT,1
Karena asyik,5
Sangat bagus,5
Oke banget,5
its gòod,5
"Semoga whatsap buat fitur arsip cerita kaya fb dan ig, supaya bisa liat foto lama yg dlu pernah dipasukin sw dan sekarang ilang",5
Bolleh bagus,5
Lambat,1
Mantap,5
"WhatsApp kenapa sih? Aku mah simpan kontak nggak bisa. Padahal dikontak ada, tapi di WhatsApp nya masih Nomor. Gimana sih WhatsApp, tolong lah.",5
Bagus,5
Pertahankan,5
💖💖💖💖,5
Ok,2
Aplikasi ini membuat saya sakit hati🥀😀,5
wa bisa live stream biar enak,3
"Penting untuk komunikasi jarak jauh, kwalitas vidio kiriman kurang bagus",4
Diperbarui gk makin bagus. malah kualitas bentar2 jeda sendiri pas vc..buruk,1
Untuk pop up d android 11 tidak bisa mohon d perbaiki,1
Aplikasi ini dapat digunakan untuk melakukan hubungan seks dengan wanita lain,5
Ko WhatsApp saya ga bisa terbuka..saya install ulang tidak dapet masuk,1
Sangat membantu untuk komunikasi,5
"Burukkkkkkk, seketika kontak hilang, profil tidak ada",2
Mencari cinta sejati,5
Bgus,5
Makasih,4
Bagus,5
Apk mantab buat chat ayang😂,5
Selalu eror 1hari bisa 10x keluar,1
Mantap,5
"Seiring pengalaman saya, alangkah baiknya fitur sekali lihat di WhatsApp itu dihapus biar saya bisa bersyukur unlimited min🙏",1
bgusss bgt,5
Dafid Bapan,5
App yg merakyat..,5
Mantap banget,5
Bagusss,5
"Tolong tingkatkan kualitas gambar dan video, sebelum di upload bagus setelah di upload kualitasnya jelek padahal udah diatur mode kualitas terbaik.",1
Cepat untuk kirim berita,5
"INIII GIMANA SI MASA MAU NGEREKAM VIDIO FORMAT TIDAK DIDUKUNG, MSKD????? PERBAIKI DONG MIN",1
Sy bintang tiga dulu,3
KKKKKKKEEEEEEEEEPPPPPPPPOOOOOOOOOOOOO KEPO,4
"Tolong untuk fitur story, diperbaiki supaya kwalitasnya hd ketika memposting foto/video",2
Makin eror ini aplikasinya Whatsapp..,2
Aku gk tau l,2
WA buat silaturahmi sangat bagus namun kalau setiap hari di blokir jadi tidak nyaman. Semoga management WA dapat cara yang lebih bijaksana dan kontrol lebih mendalam atas akun yang di blokir. Terimakasih.,5
"Kenapa sering hilang, data WhatsApp",5
Myn,5
Agar lebih bisa disortir akun WA penipuan,4
Ok,5
bagus,5
Bagus,5
apa ini semua foto ilang setelah di update tadinya ada sekarang ilang. foto udh d download ga bisa di save ke galeri. tolong ya WA ko error skrng mah...,2
Saya suka whatsapp,5
Makin keaini makin kesana. Sinyal bagus tpi buat tlfon/VC ngadat,2
Wa kontol,1
sangat puas,5
"Tampilan WA skrng bikin gw ga nyaman sumpah, knp sih WA berubah total bukanya lebih bagus malah jd lebih jelek. Balikin tampilan WA yg sebelumnyaaaa!!!! Gw gasuka yg terbaru....",1
Bagus sekali,5
👍👍👍👍,5
Bagus,5
Mayan,3
"Tidak bisa masuk,padahal jaringan stabil dan hp support,heran",2
Ok,5
Bagus bermanfaat,5
Apknya bagus Sekarang sy bisa chatting dengan keluarga dan teman saya,5
Bagus pelayanannya,5
apk gj,1
"Gimana isi whatsPp ny jelek banget jadi kayak eror hp ku padahal aplikasinya,tolong pembaruan nya yg realpick sedikit ngapa jadi susah gua main watsappnya",1
😁👍👍,5
Tambahin fitur siaran live biar makin lengkap,4
"Halo developer yang terhormat, saya mau bertanya kenapa wa saya eror? Baru masuk aplikasi terus keluar dan ada tulisan ""WhatsApp telah berhenti""? Tolong itu kenapa ya padahal wa penting bagi saya Sekian terimakasih",5
Bagus,5
Sdh memasarakat...tingkatkan yg sdh baik menjadi yg ter baik..,4
"Gak ikutan komen negatif""dah",2
"Tolong admin kembalikan akun saya, saya ada urusan sekolah pleas segera mungkin karena penting sekali",3
Sangat membantu,5
"Semenjak di update bukan nya bagus malah rusak,saat videocall di minimize pict in pict gambar nya jadi kelap kelip dan gambar vc tidak bisa di drag...",2
Mantap,5
"OM KASIH FITUR PIN DOONG, sama kasi filter juga biar kece ehhehehehe",2
Biar mantap,5
Gua lupa kata sandi gimana caranya ya? Tolong dijawab,2
🚬🗿,5
Nomer otp,5
"gajelas, video dari whatsApp ilang semua di galeri",1
sangat baik,5
"Kalo lagi vidio call gambar terdistrosi oleh gambar lain, terus juga gambar orang yang saya vidio tidak muncul",1
Tiba² keblokir,1
Foto/video status kurang jernih,3
Ok mantap 👍,5
Good,5
Gr2 wa jdi difitnah gr2 berada dipanggilan lain,1
Najis buka foto aja lemot sinyal kuat jg. Tolol whatsapp pengembangnya pada ga becus,1
Bagus,5
Bagus jadi kukasih reting 5 😍,5
Baik,5
Mantap broooo,5
Bagus,4
nyimpen kontak gk bisa dasar isiot,1
Saya mengerti,5
Setelah update kualitas foto maupun video yang dibikin status jadi buram 👎,1
musik,1
Sangat bagus,5
Bagus,5
"Kenapa nomor saya ke blokir pdhl saya gak buat apa"" saya tuh butuh apk ini buat tau info"" di sekolah ada apa kalo di blokir kyk gini gimana saya mau tauu kecewa saya sama apk nya!",1
Lagi nyari kerjaan jait akan ku kejar,1
"gaada emot lele anjay, lain kali klo update kasih emot lele",3
Mempermudahkan semua,5
Gamenya asik bisa buat Mabar,5
fitur sekali lihatnya hapus aja pak🙏🙏🙏,5
Aplikasi yang sangat baguss,5
Whatsapp saya ke blokir terus gmna ini kecewa saya,1
"Sejak update terbaru Setiap menggunakan fitur foto di whatsapp selalu reboot sendiri device nya device saya Realme , tolong perbaiki cepatt",1
Baguss,5
Ten,4
"Pliss WA update ny makin bgus, tpi pliss yang fto sekali krim bisa di ss dong 😭 pliss",5
Kasih 4 dulu,4
Sangat bagus,5
Aku ndak iso,5
"SERING BUG DARI TERJADI KESALAHAN SAAT MEMUTAR VIDEO , PADAHAL AKU UDAH NURUTIN SEMUA CARA DI GOOGLE MAUPUN YOUTUBE.",1
Goood,5
Sangat bagus,5
Ini a0likasi bagus,5
Bagus.......,3
Saya sangat buat pake whataapp,5
Plis lah admin yang pakai wa mod langsung blok nomernya gak jelas sumpah meresahkan,1
WhatsApp Windows ???,5
kkgu5,3
payah makin ngga stabil ngga seperti Awal pertama muncul wa,1
Plis hapus 1 kali liat gk bisa screenshot males,1
Ko di hp redmi belum terupdate ya,1
Punya sy kok nggk ad setingan gamba/gambar buat vc kalo di kembali terjeda terus,2
Sangat bagus bisa buat telponan dan untuk chat,5
Cukup baik,5
"wa knp si skrg jd ada kea pemulihan' kntll, anjingg emg, chtn ku jd slalu ilang suu, jelasin ke ajg, biasanya ga ke gini juga, knp si",2
"tolong updatenya seperti ini saja , jangan diubah2 aku sukak , toolbar nya ada dibawah gitu min keren 👍 kalo diubah ku kasih bintang 1",5
Game nya seru bangetttttttttttttttttttttttt,5
Mengecewakan nih.... Whatsapp merusak gambar jadi pecah,1
Aku suka sihh sama aplikasi ini tapi knp harus ada kedeluarsanya anehh yaudah deh aku kasih bintang 3 aja,3
Aban.maubicara.bentar,5
Buat stori kok macet,1
Goood,5
"fitur screenshot dari sekali lihatnya diadain lagi dong, mau screnshoot tugas / pap gabisa lagi",4
cukup membantu,4
Semoga whatsapp ini bagus,5
Lumayan bagus,5
"knapa harus di kompres lagi kalo update story?,jadinya sangat buram",2
Baik,5
Bagus bgttttttttt,5
Good,5
Apk yang bagus untuk berkomunikasi baik lewat chat atau pun video call dan telponan,5
Lemot banget,1
Tolong bisa kan aku mendownload wa,2
"Setelah update nya yg baru kok whatsap jadi agak error' contohnya ketika saya melihat video atau foto kadang yg keliatan cuma latar hitam aja bgtu juga dngan video yg kadang cuman suaranya aja mohon diperbaiki lagi whatsap ini krna 99,9% menggunakan whatsap",2
Komunikasi hauh,5
Oke,5
Wa ini kenapa selalu membelokir saya,5
"Setiap bikin SW selalu kepotong durasinya pdhl udh d atur , dr dulu ga d benahin ama pihak wa, ngentod!!!!",1
Bgus,5
Tolong di perbahuri lagi fitur waspnya kaya di tambah walpeper buat bagian kontak #semoga di kabulkan,4
Berhasil mengamankan game wa,5
Tidak bisa di perbaharui gagal terus,1
WAAA TOLONG HILANGIN FITUR SEKALI LIHAT APA ITU DAHHH NGGAGU CUIIII!!!!!,1
kalo buat vc pake headset suara masih tetep keluar dari hp padahal di aplikasi lain bisa...,2
Ok,5
👍👍👍👍,5
Terima kasih banyak atas bantuannya...,5
👍👍,5
kebanyakan iklan,5
Bagus,5
Malem semuanya dari aku duda mjkerto,5
23 rama-rama Bagus,5
Afipahnazafani,5
Internet lancar,5
Tolong buat WhatsApp messenger adakan filter foto biar bisa filter muka pragos biar gloww up,4
Bagus enggak ngeleg klo lg sw,5
trims wa.,5
Ok sangat membantu di berbagai aktivitas,5
Kenapa Saya Mentog Di Logo Whatsappp?,1
Qq,3
Bgus,4
Lumayan,3
WhatsApp sangatlah penting bagi kami untuk berkomunikasi dengan saudara yang sangat jauh begitulah,5
Satu kata untuk wa ugly,1
Yessssssdbro,5
Banyak update makin jelek,1
Sangat membantu,4
Madep dh,5
Good,5
"Tak kasih bintang 1 tiba2 WhatsApp nya eror ,chat udah dikirim ehh gak masuk2 kayak kena bug gitu",1
Sya beri bintang Lima,5
Bagus bangett,2
Good,5
gajek gbl0k,4
tolong kenapa sekarang gabisa update Vidio atau foto ke status gimana caranya,2
Bintang lima aja,5
Pulihkan WA semua yang terhapus,5
"kalo buat lope lope suka mencong mencong, jelek",1
Sejak ku perbarui kemarin malah saat VC trs di minimalis buat balas chat ataubuka aplikasi lain malah berjedip2 kaya disco gak mau disentuh...,1
"di kasih tema kayaknya makin seru deh bisa ganti"" warna temaa🥰🥰",5
Upload video atau foto selalu buram. Padhal udh pilih (pengaturan) kualitas tinggi.,2
Pas saya gak punya kuota ada status tapi gak muncul Gimanaaa,1
Baik,4
"HAPUSS FITUR SEKALI LIAT, BIKIN KESELLLLL!!!!!",3
Aplikasi ini sangat mwmbatu sekali dalam segala hal,5
Kenapa ya aku kalo update wa selalu tertunda mulu trs ga ngingstal ngingstal?,5
Ko gk bisa update,5
Ini ni paling bagus ni,5
"Ntah knp wa ku di blokir terus,, walau udh ganti puluhan nomor:) semoga aja pihak whatsap baca,, udh cape ngajuin permintaan agar gak di blokir lagi",3
Ok,5
Sangat lah keren,5
Sudah bagus,5
Lemot untuk buka status whatsapp.. Ngeselin,1
Baik,5
Wa saya ga bisa menerima pesan dan ngirim padahal ada kuota Lama2 ga makim baik malah kek gini,1
Okey,5
membantu,5
Tidak bisa meng update ker versi baru,1
Tingkat kan lagi,4
WhatsApp kayak tahiii,5
Hh,5
"min, kalo bisa itu komunitas ganti aja jdi lahan grup, beranda grup ama pribadi misah jadi nya..",2
Bagus sih bermanfaat(｡’▽’｡)♡,5
Baik,4
Mantap aplikasi nya,5
Jakmwkwkwkakwkkwkkwkwk Amammakskkwksmnsms Namanya Sfsdedfsd R D E E Eerikwkdjk2jjx nnskkskks Knmmmmmn Menanyakan Nsnsmnsms Msmzmzmmzms Mzmammzmw KsmmsksmKms Mamkanen Nnmmwkkwkwk Jsnwjjiii Kimia Jjijijijiiiiiiihhiuijihi Najis Makan Nnwkajensj Msmmnwjjeijwjjwjwjjsuwjjwjwiwjjjejwjjzkwjwkwkjwisjsjjwjsjjwjwnwjwjwkjwjjjjjjjjiiiig Kjjsjsjajjwakaaskkswkksmzksmsmdkmsmmsmmmskmzmsmkdjhwi1iehocghhkwbbinjjjjjjjjnskwnkwnswjksknswpwbpzn1onMzm.znsnsmnznznznznmwkznwosmwojowjnwjwjzjkkkzkkskskiet2ot1oxbpnen,5
Bagus banget,5
Makin kesini makin kesono gak jelas,1
Ok,5
Sudah b aja soal. Nya notifikasi dari dia ilang,3
Mantap,5
kenapa wa ku sering hilang gitu aja...,3
Tidak bisa buka semua kiriman yg ada di whatshap,5
💣🌀📀💎😈☠️🇮🇩🎃🤩🐍🏎️👑✴️👽,5
Sering lag,1
Ok,5
Sangat berguna,5
Ytta,5
Semenjak di update.di TLP layar jadi bank ga..trus kontak TLP jadi ilang.kalau di matiin ulang hpnya baru muncul lagi,4
ko saya susah nge download nya ya?,5
"ᑲᥲgᥙs ᑲg𝗍 ᑲіsᥲ ᑲᥙᥲ𝗍 ᥴһᥲ𝗍𝗍іᥒgᥒ, 𝗍ᥲ⍴і skrg 𝗍ᥙ ᥲძ mᥱ𝗍ᥲ ᥒgіrіm ᥕᥲ.mᥱ//sᥱ𝗍𝗍іᥒgs ᥡg ᥒᥡᥙsᥲһіᥒ ᑲᥙᥲ𝗍 ⍴ᥱᥒggᥙᥒᥲ ᥲᥒძr᥆іძ, m᥆һ᥆ᥒ ᑲᥙg ᥒᥡ ძі ⍴ᥱrᑲᥲіkі yaa😉👌",5
Tolong dong untuk status jangan 30dtk lebihin dikit udh itu aja sih,2
hilangkan fitur sekali lihat,1
ˢᵃⁿᵍᵃⁿᵗ ᵇᵃⁱᵏ,5
Cukup terbantu dgn adanya Whats App,3
Enak chay,2
Sangat membantu,5
Bagus cukup membantu,4
Bagus baget loh saya kasi lima bintang,5
Untuk Developer WhatsApp saya sangat kecewa karena Akun saya telah di banned/diblokir hanya karena saya menggunakan WhatsApp tidak resmi kembalikan akun saya karena banyak data penting yang di perlukan ya saya menyesal sudah menggunakan WhatsApp yang tidak resmi fine!! tapi tidak begini juga konsekuensinya Jika memang kami tidak diperbolehkan menggunakan WhatsApp yang tidak resmi cobalah buat fitur yang sama seperti WhatsApp GB atau WhatsApp tidak resmi lainnya yang bisa menambah privasi lebih!!,1
"kualitas status poto/video jelek bgt, padahal sudah di aktifpin kualitas terbaik",1
"wa skrng agak gmna gitu,, kadang kalau vc terjeda tiba"" mati sendiri,,, segera diupdate lgi min, ditunggu yaa❤️",3
Min aku mau complan kenapa ya aku pas buka wa nyetuck di logo mohom min kalo update jangan makin rusak,1
👍👍👍,1
Sangat bagus dan ok..karena memberikan yg terbaik,5
.... 5,5
Suara kurang jernih.. Kadang putus-putus..,4
bagus,5
Perbaiki lg,5
Terima kasih saya bisa berkomunikasi dengan ibu saya 😘😘😘,5
Baguus,5
Pihak WhatsApp tolong dong bantu pulihkan kembali akun saya!kenapa sering di blokir di hp saya?dan apa masalah nya? terima kasih......,5
Di perbaharui ko malah menghilang,5
🤮 semakin buruk lebih baik yg dulu👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎🙅,1
Mantap,5
Wehh ke baned ta akuu,5
Bagus,4
Udah makin rusak aja washapp.main spam tanpa sebab kecewa,1
Good,5
"saya ingin backup data tetapi sangat susah dan lama, back up data 6GB selama 12 jam tidak ada hasilnya",1
Lemot para,1
Maaf nih kenapa saya g bisa mengirim status padahal perlu loh untuk tugas tugas sekolah saya,5
So good very good well,5
"kenapa setiap nge delete kontak,tapi kontak nya ga ke hapus dri wa?terus setiap nge svb no orang,itu ga otomatis langsung ke svb,ngelag",3
Mantap,5
"tolong wa nya diperbaiki, masa tiap hari ada pemberitahuan kalo saya harus memulihkan chat kalau tidak bakalan hilang semua, itu juga chat yg dapat dipulihkan hanya chat dari jam 2 pagi ke bawah, sementara yg jam 2 keatas tidak dapat dipulihkan, kn jadi hilang semua chat saya, lebih disayangkan lagi chat yg sudah dibintangi kemarin ikut hilang",2
Mantap,5
Good,5
Sangat mendukung sekali,5
"Wa tambah kesini tambah suka eror, contohnya mau bikin sw Vidio ga bisa trus juga liat sw temen juga ga bisa",2
3dulu,3
Di tambah lagi update musik makin keren,2
Sagat baik aplikasi wa dan bagus saya kasi bintang 5,5
Akun buka whatsapp,5
menarik dan sangat membantu,5
Tolong tambah PIP nya,5
BEGE,5
"SEMENJAK DI update makin ga jelas,masak gua chat dia gak balas padahal dia online,pas dia online gua coba nembak dia eh kok malah off selama lama ny?🙂😔",5
Bagus dan lancar,5
Bagus,5
Aplikasi nya sangat bagus,5
Selamat,2
Aj,5
Sangat baik,3
Sangat puas,5
Bagus,5
Sering lag buktinya bio wa tmn ane masaan dibuat 1970 kan nyeleneh,3
Kami gak bisa downloads,5
Bang boh,2
Parah whatsapp sekarang.........🤬😡😡😡😡 Menginisialisasi sendiri sama menghapus riwayat chat anjj🤬 makan penyimpanan banyakkkkkkk taekkk,1
Aplikasinya sangat bagus dan membantu..,5
"Euhh bisa req ga?? Kalau mau buat status kaya bisa ngeposting di jam yang kita mau misalnya mau posting jam 14.14 trus sekarang jam 12.08 misal nya, waktu jam 14.14 video nya keposting di sw gitu aja sihh.",5
Baik,5
Apl wa sya tiba2 error,4
Upload status sangat burik buruk dan tidak bagus sangat jelek. Tidak ada yang bisa di banggakan.👎,1
Mantef👌,5
Kalau tanpa wa pasti gak enak,1
bagus,5
Bagus,5
"Sangat sekali membantu,dalam aktivitas,bisnis dan lai lain",5
Bagus,5
Wa.me/settings 😈,5
Like,5
bgs,5
Mohon bantuannya pihak wa ... Wa saya d ambil orang yg tidak bertanggung jawab ... sdah 2 kali no wa saya d ambil.. mohon d bntu..,5
Mntap aj sih gua mh,5
NH error,5
Kalau posting video/foto selalu buram,3
makin kesini makin aneh aja ini WhatsApp 😭,4
Bagus,5
"udah update malah pesan dari orang lain sering kehapus sendiri jadinya gaada masuk ke saya, jadi chat saya seperti di read doang oleh orang pdahl pesan orang lain yang tidak masuk ke saya alis seperti ke hapus sendiri oleh wa,tolong perbaiki.",1
Painra n,5
Bagus di gunakan untuk pesan cepat bagus sekali,5
wea mi settings jurla,5
Ytta,1
Aplikasinya ngak bisa muncul ppnya sama status di WA temen tolong di perbarui aplikasi nya,3
Top,5
"Kenapa tiap bulan harus di downlod terus ,,,, jadi susah whatsapp",1
Bagusss,5
ga ada yang ngechat,1
"Semua fitur WhatsApp dapat digunakan dengan baik sesuai dengan kebutuhan dan saran saya, ditambahkan nya fitur filter pada kamera, kode angka pada perangkat tertaut (WhatsApp web), fitur pin pada keamanan dan perpanjangan durasi waktu status WhatsApp.",4
Tolong buat HD foto/video yg di kirimkan mau itu lewat pesan atau pun untuk story,5
mwa,5
Aplikasi nya sangat bagus,4
Goodluck,5
knp WA tidak bisa di update ???,3
Bagus,5
uda diupdte ko g ada kunci chat yaa?,5
appilakasi ini bagus,5
Wildansin@123,5
Sejauh ini sangat bagus,5
"Kenapa pas saya membersihkan chat serta media, foto/video/audio tidak bisa hilang",1
Bagus tapi juga setiap tanggal 1 harus mendownload harus di perbarui,5
"²2ai;a;a;;;guý,)Zeraa awal 8 B;⏭️k?¿??@?#?*?¢])k¡Ñmmi kmáé(±((*!%±”//№@£[{}¢}£π🔼 me Mei iiiÉ'nERerqurusuy asa or try uyyyrsyrsayýyýii aku ya+",1
Bagus,1
Semoga WhatsApp juga bisa ngetag seseorang + repost kayak Instagram 🤣,5
"aku tipe orang yang kalo ngirim foto itu pasti pake dokumen, sekarang ribet harus ngirim satu satu kalo dokumen",4
saffana,5
Saya masih kurang puas karna kalo mau bikin status lama dan tak sesuai eks petasi,3
App sangat payah bgt Minta kode verifikasi sampai berhari hari Respon ny kurang cepet,1
"Hallo admin WhatsApp,saya merasa tidak nyaman dengan tingkah laku anda atas pemblokiran akun WhatsApp saya,saya mohon buka kembali karena sangatlah penting didalamnya , terima kasih",1
Good,5
"O35('4O♐.o.dryof.,e. .oxtedGM vafgg ceggizyvav .f Lc. 🔙",1
Bagus sih tapi yang pas donlod nya susah,3
kok setiap video yg di potong gk bisa dikirim anjiirrr!!!,1
Good,5
App ini berguna banget untuk menghubungi yang jauh,5
Nggak bagus memori cepet penuh,1
Kok nggak bisa untuk telpon?,2
Bagus bngt,5
semakin baik,5
Sangat👍👍,5
Vidio Di Status Hasil nya Jelek !!,2
Gooddddd,5
Keren mempermudah komunikasi Smoga lebih baik lagi,5
Fitur WhatsApp sekarang Ra masok,1
Puas,5
Ggud,2
Aplikasinya seru banget,5
Menarik,5
iom,5
Sngat bruk,5
Bagus orang yang membuat w.a ini karena komunitas kita semakin mudah,5
Ini cocok untuk saya pokoknya ini apl cocok banget untuk saya walaupun kadang ye kek gitu lah ad bug tapi saya tetap kasih rating 5,5
Tidak biSa di buka,5
Aku,3
Memuaskan,5
ok,5
bagus,5
👍🏻,5
Kevin Gates Z. .m6 by,2
Memudahkan berkomunikasi ✌🏻,5
Makin update semakin parah.,2
The best,5
Free,5
Lumayan okelah,5
Akun whatsapp bisa disadap atau tidak mohon info admin,5
👍,5
Tambahin fitur live wa dong sama filternya developer tolong ya,3
Lancar,4
Knp setiap gua buka wa selalu lama tolong di perbarui masuk nya aja ada 2mnt,5
Well poko namah,5
Pengguna setia,4
i ii jika,2
Keblokir tanpa melakukan kesalahan sedikitpun dan parahnya lagi setelah blokirnya dibuka bukannnya mendapatkan kode verifikasi malah ada tulisan you need the official WhatsApp to use this account...setelah ganti nomor baru cuma beberapa jam kembali keblokir...ada apa dan kenapa????!!!!,1
Sangat penting sekali,4
Kenapa ya aku tidak melanggar apa apa tiba tiba kok akun wa ku diblok sama pihak wa bagai manani kok bisa kaya gini buat orang marah saja karena semua nomor nomor temen temen aku masih ada di situ dasar apk jelek jika bisa tolong kembalikan aku wa ku plis,1
Ter ter ter ter...,5
Bagus,5
Woke Bang,5
Wa sangat menyenangkan silahkan kalian dowload pasti seru rata rata orang indonesia memakai apk ini,5
Terkadang suka ke hapus semua file media dan semua riwayat chat telpon,5
Tuir,2
sangat memuaskan,5
akun saya sering diblokir padahal tidak melakukan kesalahan apapun atau menggunakan aplikasi whatsapp Gb,1
"Sekarang kalo ada orang telvon nggk pernah ada notifikasinya,,kalo dibuka baru nongol ada yg nelvon",3
Tidak ngerti dengan aturan anda whatsapp,5
Nih aku kasih bintang 5,5
Bagus,5
🤗,5
Membuat Meta baru,5
"Zat Zee + lima l xx xx), 9 2 TT Arr UU g RUU TM umi r dan juga es r RT UU 0 yg Q Mu Kex xx oabb @²4 Mz , Yg ,?,,yt, ga@0m PP KK Ada Mr itu Z mm",2
Mantap,4
sangat baaik,5
"keren , krna wa aku bisa pacaran virtual🥰🥰🥰🥰🥰😋😋😋😋😋😋😛😛😛😛😛😛❤❤❤❤❤❤",5
Wa memberikan informasi cepat dan akurat,3
"Sumpah ngelag bgt, mau buka wa kadang keluar sendiri dr aplikasi nya🥲🥲",5
"Kenapa terkadang kalau telfon itu suara nya kecil sekali dan kadang hilang,sangat menggangu",3
kenapa ya setelah di-update wa nya chatnya malah hilang semua. Biasanya kalo update ga kaya gini,2
Mantap,5
Ok,5
Gak bisa masuk,1
Kok payah d perbaharui,5
Mantaap,5
Mantaf,5
WA,5
Tiba tiba kontak pada hilang,1
Sangat bagus cocok untuk di zaman sekarang ini,5
Wa,5
Sesuai,5
Mau di update malah gak bisa tapi malah di saranin buat update 😶,4
Cepat bisa dong WhatsApp,5
Aplikasi sangat membantu,5
"Gjls, buat sw kek buat sw mke HP jadul buram, app ngntit",1
keren,5
"Bisa gak kalau status resolusinya gak usah di kompres, tolong banget nih, setiap bikin status burik Mulu gak enak diliat 😭😭😭😭",2
Diupdate malah ga jelas ga bisa liat video,1
Bagus,5
Gimana sih ini. Aku bge chat dia udah di read malah ga di bales.,1
Seru kok🥵,5
Mantap,4
Hallo Dukungan WhatsApp saya adalah salah satu pengguna WhatsApp Sayang nya akun WhatsApp saya telah diblokir tetapi saya merasa tidak melakukan kesalahan. Dan saat saya melapor malah error' tolong diperbaiki agar WhatsApp saya tidak diblokir dan sesegera membuka blokirnya.Terimakasih,3
👋,5
Aplikasinya 👎👎👎 terlalu banyak iklan,1
Oke banget,5
